id_plot specrich total_ba rba_fsyl rba_qrob rba_qrub fragm specrich_std total_ba_std rba_fsyl_std rba_qrob_std rba_qrub_std fragm_std id_frag speccomb
38 3 3.6906448747 0.2411964057 0.2645307853 0.494272809 0.3961883237 1.8843103989 0.3978676545 -0.2509284613 -0.1855161189 0.4294184117 0.1605273805 16 all
39 2 3.5965149048 0.3960167932 0 0.6039832068 -1.77937245 0.4576182397 0.2357374719 0.175531239 -0.9326250999 0.7299093251 -0.7209652107 16 fsyl_qrub
40 1 2.7939628601 0 0 1 -1.5866257365 -0.9690739194 -1.1465843299 -0.915314777 -0.9326250999 1.8145781472 -0.6428681968 16 qrub
41 1 3.3242369965 0 0 1 -1.242199508 -0.9690739194 -0.2332360872 -0.915314777 -0.9326250999 1.8145781472 -0.5033137554 16 qrub
42 1 3.5065279102 1 0 0 -0.6993677689 -0.9690739194 0.0807431817 1.8392300671 -0.9326250999 -0.924368384 -0.2833694716 16 fsyl
43 1 2.5973902662 0 1 0 0.6817816914 -0.9690739194 -1.4851624744 -0.915314777 1.8916548042 -0.924368384 0.2762439538 16 qrob
44 2 3.1429867353 0.5960417565 0.4039582435 0 -0.8980432644 0.4576182397 -0.5454229283 0.7265089702 0.2082660494 -0.924368384 -0.3638687063 16 fsyl_qrob
45 1 4.9490098121 0 0 1 1.2786151772 -0.9690739194 2.5652850813 -0.915314777 -0.9326250999 1.8145781472 0.5180686374 15 qrub
46 3 4.1239883113 0.3333476168 0.3867058986 0.2799464846 1.8334250249 1.8843103989 1.1442617159 0.0029061822 0.1595405983 -0.1576099311 0.7428662051 17 all
47 1 2.3752670992 0 1 0 1.7490604416 -0.9690739194 -1.8677491222 -0.915314777 1.8916548042 -0.924368384 0.7086834068 17 qrob
48 1 3.6153448258 0 1 0 2.7416060968 -0.9690739194 0.2681702723 -0.915314777 1.8916548042 -0.924368384 1.110842543 17 qrob
49 2 3.7543995705 0 0.463887872 0.536112128 0.4717095795 0.4576182397 0.5076792319 -0.915314777 0.3775240947 0.5440140694 0.1911270439 18 qrob_qrub
50 2 3.25647677 0 0.444977721 0.555022279 1.8973690668 0.4576182397 -0.3499468215 -0.915314777 0.3241165352 0.5958079619 0.768775019 18 qrob_qrub
51 2 3.7506689293 0 0.3972201864 0.6027798136 0.9632810608 0.4576182397 0.5012535469 -0.915314777 0.18923589 0.7266132956 0.3903017229 18 qrob_qrub
52 1 2.2317285162 0 0 1 -1.9409017247 -0.9690739194 -2.1149810793 -0.915314777 -0.9326250999 1.8145781472 -0.7864135588 19 qrub
53 2 2.7831369318 0 0.6156944915 0.3843055085 -2.4427436259 0.4576182397 -1.1652309919 -0.915314777 0.8062684794 0.1282238555 -0.9897496013 19 qrob_qrub
